FoodItem,FoodCategory,Calorie
Applesauce,Veg,62
Canned Apricots,Veg,48
Canned Blackberries,Veg,92
Canned Blueberries,Veg,88
Canned Cherries,Veg,54
Canned Cranberries,Veg,178
Canned Crushed Pineapple,Veg,53
Canned Figs,Veg,107
Canned Fruit Cocktail,Veg,81
Canned Fruit Salad,Veg,50
Canned Gooseberries,Veg,73
Canned Grapefruit,Veg,37
Canned Grapes,Veg,76
Canned Mandarin Oranges,Veg,71
Canned Mango,Veg,65
Canned Mangosteen,Veg,73
Canned Mixed Fruit,Veg,71
Canned Morello Cherries,Veg,81
Canned Oranges,Veg,62
Canned Peaches,Veg,54
Canned Pears,Veg,35
Canned Pineapple,Veg,60
Canned Plums,Veg,58
Canned Raspberries,Veg,91
Canned Sliced Pineapple,Veg,53
Canned Sour Cherries,Veg,114
Canned Strawberries,Veg,92
Canned Tangerines,Veg,61
Dried Fruit,Veg,243
Acai,Veg,70
Apple,Veg,52
Applesauce,Veg,68
Apricot,Veg,48
Avocado,Veg,160
Banana,Veg,89
Blackberries,Veg,43
Blood Oranges,Veg,50
Blueberries,Veg,57
Cantaloupe,Veg,34
Cherries,Veg,50
Clementine,Veg,47
Cranberries,Veg,46
Currants,Veg,56
Custard Apple,Veg,101
Dates,Veg,282
Figs,Veg,74
Fruit salad,Veg,50
Grapes,Veg,69
Greengage,Veg,41
Guava,Veg,68
Jackfruit,Veg,95
Jujube,Veg,79
Kiwi,Veg,61
Lemon,Veg,29
Lime,Veg,30
Lychees,Veg,66
Mandarin Oranges,Veg,53
Mango,Veg,60
Minneola,Veg,64
Mulberries,Veg,43
Nectarine,Veg,44
Olives,Veg,115
Orange,Veg,47
Papaya,Veg,43
Passion Fruit,Veg,97
Peach,Veg,39
Pear,Veg,57
Persimmon,Veg,127
Physalis,Veg,49
Pineapple,Veg,50
Plantains,Veg,122
Plum,Veg,46
Pomegranate,Veg,83
Quince,Veg,57
Raisins,Veg,299
Rambutan,Veg,82
Raspberries,Veg,52
Rhubarb,Veg,21
Starfruit,Veg,31
Strawberries,Veg,32
Tamarind,Veg,239
Tangerine,Veg,53
Watermelon,Veg,30
Acerola,Veg,32
Asian Pear,Veg,42
Avocado,Veg,160
Banana,Veg,89
Breadfruit,Veg,103
Cantaloupe Melon,Veg,34
Casaba Melon,Veg,28
Cherimoya,Veg,75
Dragon Fruit,Veg,60
Durian,Veg,147
Feijoa,Veg,55
Galia Melon,Veg,23
Grapefruit,Veg,42
Guava,Veg,68
Honeydew,Veg,36
Jackfruit,Veg,95
Kiwi,Veg,61
Kumquat,Veg,71
Lychee,Veg,66
Mandarin Oranges,Veg,53
Mango,Veg,60
Mangosteen,Veg,73
Maracuya,Veg,97
Maraschino Cherries,Veg,165
Muskmelon,Veg,34
Noni,Veg,53
Passion Fruit,Veg,97
Pineapple,Veg,50
Pink Grapefruit,Veg,42
Plantain,Veg,122
Pomegranate,Veg,83
Pomelo,Veg,38
Prickly Pear,Veg,41
Rambutan,Veg,82
Sapodilla,Veg,83
Soursop Fruit,Veg,66
Star Fruit,Veg,31
Tamarind,Veg,239
Watermelon,Veg,30
All-blue Potatoes,Veg,61
Baked Potato,Veg,93
Boiled Potatoes,Veg,87
Cassava,Veg,160
Croquettes,Veg,127
Dumpling Dough,Veg,124
Dumplings,Veg,124
French Fingerling Potatoes,Veg,82
French Fries,Veg,312
Fried Potatoes,Veg,312
Gnocchi,Veg,133
Japanese Sweet Potatoes,Veg,87
Marrow Dumplings,Veg,424
Mashed Potatoes,Veg,89
Norland Red Potatoes,Veg,89
Omelette,Veg,154
Potato,Veg,77
Potato Dumpling,Veg,124
Potato Fritter,Veg,185
Potato Gratin,Veg,132
Potato Pancakes,Veg,268
Potato Salad,Veg,143
Potato Starch,Veg,331
Potato Sticks,Veg,522
Potato Waffles,Veg,167
Potato Wedges,Veg,123
Potatoes au Gratin,Veg,132
Purple Majesty Potatoes,Veg,72
Red Gold Potatoes,Veg,89
Red Potatoes,Veg,89
Roast Potatoes,Veg,149
Rosemary Potatoes,Veg,93
Rösti,Veg,138
Russet Potatoes,Veg,97
Russian Banana Potatoes,Veg,67
Sweet Potato,Veg,92
White Potatoes,Veg,94
Yams,Veg,116
Yukon Gold Potatoes,Veg,82
Artichoke,Veg,47
Arugula,Veg,25
Asparagus,Veg,20
Aubergine,Veg,25
Beetroot,Veg,43
Bell Pepper,Veg,20
Black Olives,Veg,115
Broccoli,Veg,34
Brussels Sprouts,Veg,43
Cabbage,Veg,25
Capsicum,Veg,27
Carrot,Veg,41
Cauliflower,Veg,25
Celery,Veg,16
Chard,Veg,19
Cherry Tomato,Veg,100
Chicory,Veg,72
Chinese Cabbage,Veg,16
Chives,Veg,30
Collard Greens,Veg,32
Corn,Veg,365
Courgette,Veg,17
Creamed Spinach,Veg,74
Cucumber,Veg,16
Eggplant,Veg,25
Endive,Veg,17
Fennel,Veg,31
Garlic,Veg,149
Gherkin,Veg,14
Gourd,Veg,14
Green Beans,Veg,31
Green Olives,Veg,115
Green Onion,Veg,32
Horseradish,Veg,48
Kale,Veg,49
