BMR,Required_Calorie
958.584,1150.3008
932.383,1585.0511
977.578,1857.3982
944.689,1794.9091
799.229,1518.5351
939.781,1785.5839
831.386,1579.6334
947.56,1231.828
950.262,1615.4454
938.161,1219.6093
763.329,992.3277
934.989,1589.4813
987.396,1876.0524
914.084,1736.7596
914.841,1555.2297
955.826,1816.0694
691.562,1175.6554
929.486,1580.1262
793.275,1507.2225
944.943,1606.4031
959.528,1247.3864
938.694,1595.7798
971.079,1650.8343
949.838,1424.757
963.878,1831.3682
724.022,1375.6418
678.613,1153.6421
982.76,1867.244
965.486,1834.4234
912.879,1734.4701
989.604,1682.3268
976.832,1660.6144
679.789,1019.6835
930.216,1767.4104
974.18,1169.016
913.534,1735.7146
714.581,1214.7877
931.917,1211.4921
928.402,1763.9638
987.151,1480.7265
963.11,1637.287
939.785,1785.5915
940.816,1787.5504
908.978,1545.2626
963.995,1638.7915
711.275,1351.4225
800.204,1520.3876
972.449,1458.6735
923.48,1754.612
963.745,1831.1155
912.53,1733.807
960.815,1825.5485
932.627,1585.4659
951.065,1236.3845
960.391,1440.5865
958.748,1438.122
955.642,1624.5914
922.437,1752.6303
961.115,1826.1185
794.583,1509.7077
690.796,1174.3532
937.56,1781.364
936.082,1591.3394
904.829,1719.1751
923.334,1754.3346
793.873,1508.3587
934.681,1775.8939
686.934,1167.7878
919.429,1746.9151
720.59,1225.003
965.499,1641.3483
789.285,1499.6415
767.939,1459.0841
905.974,1721.3506
927.967,1763.1373
963.804,1638.4668
954.019,1240.2247
966.479,1836.3101
951.015,1806.9285
914.599,1554.8183
963.943,1445.9145
796.616,1513.5704
932.547,1212.3111
934.479,1401.7185
922.683,1568.5611
939.017,1596.3289
972.277,1847.3263
942.785,1791.2915
966.781,1450.1715
770.062,1155.093
904.164,1717.9116
956.301,1816.9719
951.418,1807.6942
975.172,1462.758
937.132,1218.2716
682.619,1023.9285
946.778,1609.5226
957.934,1628.4878
912.872,1551.8824
972.656,1458.984
732.194,1244.7298
980.777,1667.3209
939.104,1596.4768
953.848,1812.3112
986.028,1676.2476
945.89,1797.191
951.17,1807.223
948.665,1802.4635
969.68,1648.456
786.936,1495.1784
709.711,1206.5087
773.911,1470.4309
954.61,1813.759
939.709,1597.5053
923.77,1570.409
963.105,1637.2785
923.935,1570.6895
680.061,1020.0915
927.596,1205.8748
953.886,1621.6062
983.938,1475.907
772.312,1467.3928
936.426,1217.3538
979.215,1860.5085
710.693,1208.1781
952.403,1619.0851
906.157,1721.6983
787.228,1495.7332
949.354,1803.7726
948.511,1802.1709
963.809,1445.7135
942.742,1602.6614
964.423,1832.4037
932.235,1771.2465
929.198,1207.9574
965.155,1833.7945
923.734,1570.3478
943.198,1792.0762
929.291,1579.7947
720.038,1224.0646
692.973,1039.4595
911.266,1731.4054
923.543,1570.0231
917.62,1743.478
924.645,1571.8965
917.327,1559.4559
974.092,1461.138
984.737,1674.0529
964.609,1639.8353
933.276,1586.5692
935.282,1589.9794
962.5,1155
950.743,1426.1145
681.541,1022.3115
957.405,1244.6265
929.591,1394.3865
943.069,1225.9897
956.632,1243.6216
935.611,1403.4165
961.027,1633.7459
971.885,1166.262
926.287,1759.9453
964.681,1832.8939
984.44,1870.436
975.69,1463.535
969.318,1453.977
677.686,1016.529
935.753,1777.9307
934.939,1776.3841
964.372,1446.558
940.507,1222.6591
923.181,1754.0439
964.912,1833.3328
907.087,1542.0479
968.683,1453.0245
962.225,1154.67
944.993,1417.4895
933.95,1587.715
937.678,1781.5882
733.493,953.5409
778.31,1478.789
952.972,1810.6468
917.735,1743.6965
716.185,1360.7515
920.198,1564.3366
984.004,1672.8068
940.191,1598.3247
956.915,1243.9895
954.082,1621.9394
704.623,1197.8591
925.087,1757.6653
771.858,1466.5302
939.509,1785.0671
941.252,1600.1284
974.819,1852.1561
792.283,1505.3377
928.351,1763.8669
739.509,1405.0671
929.076,1579.4292
720.358,1368.6802
941.309,1223.7017
978.271,1467.4065
913.065,1734.8235
953.383,1620.7511
941.248,1600.1216
731.306,1389.4814
971.253,1845.3807
963.648,1638.2016
970.779,1456.1685
979.106,1174.9272
980.514,1470.771
979.162,1860.4078
920.77,1381.155
966.806,1643.5702
954.177,1622.1009
949.564,1804.1716
949.319,1234.1147
956.126,1625.4142
982.207,1866.1933
938.95,1784.005
968.42,1839.998
939.309,1408.9635
963.984,1445.976
949.748,1804.5212
716.251,1360.8769
959.938,1631.8946
923.011,1569.1187
938.715,1408.0725
928.012,1763.2228
947.538,1231.7994
958.924,1821.9556
942.101,1601.5717
961.841,1442.7615
950.423,1425.6345
967.184,1450.776
798.467,1517.0873
945.037,1606.5629
930.204,1767.3876
927.407,1762.0733
952.612,1809.9628
951.107,1616.8819
924.257,1756.0883
763.872,1451.3568
905.894,1540.0198
947.93,1611.481
955.779,1624.8243
959.795,1823.6105
942.877,1791.4663
983.698,1869.0262
978.222,1662.9774
963.484,1830.6196
947.17,1231.321
740.724,962.9412
949.516,1614.1772
929.735,1766.4965
924.089,1755.7691
747.015,1419.3285
914.53,1554.701
948.797,1802.7143
954.917,1814.3423
726.283,1234.6811
977.839,1466.7585
949.727,1804.4813
929.494,1580.1398
958.8,1246.44
957.918,1820.0442
969.957,1842.9183
934.069,1774.7311
969.149,1647.5533
929.587,1766.2153
954.503,1240.8539
938.576,1595.5792
917.86,1560.362
948.186,1422.279
941.373,1600.3341
976.23,1659.591
962.464,1636.1888
952.849,1429.2735
924.406,1756.3714
923.485,1754.6215
978.029,1173.6348
922.37,1752.503
976.499,1855.3481
933.282,1586.5794
940.089,1410.1335
772.491,1467.7329
970.407,1843.7733
684.288,1163.2896
928.272,1763.7168
957.903,1436.8545
949.104,1233.8352
770.502,1463.9538
937.984,1219.3792
767.603,1458.4457
763.383,1450.4277
734.926,955.4038
958.306,1245.7978
714.589,1214.8013
926.531,1575.1027
956.031,1816.4589
714.231,1357.0389
969.777,1648.6209
959.476,1823.0044
950.724,1616.2308
905.37,1539.129
776.265,1474.9035
930.164,1767.3116
705.268,1198.9556
971.058,1845.0102
959.615,1631.3455
963.692,1638.2764
971.306,1456.959
731.761,1390.3459
685.636,1028.454
933.772,1774.1668
965.473,1448.2095
959.086,1438.629
931.326,1583.2542
963.005,1637.1085
959.759,1439.6385
962.927,1636.9759
951.692,1237.1996
967.103,1837.4957
942.769,1414.1535
975.438,1853.3322
943.627,1792.8913
961.071,1633.8207
919.319,1746.7061
790.002,1501.0038
943.848,1793.3112
713.007,1212.1119
945.496,1607.3432
958.369,1629.2273
949.232,1423.848
959.389,1151.2668
776.276,1474.9244
799.173,1518.4287
915.37,1739.203
962.136,1635.6312
936.969,1218.0597
952.366,1809.4954
705.802,1199.8634
969.776,1842.5744
945.868,1607.9756
950.252,1425.378
958.054,1628.6918
945.415,1796.2885
912.058,1550.4986
924.665,1571.9305
955.246,1623.9182
724.533,1231.7061
945.089,1795.6691
775.432,1473.3208
948.588,1422.882
933.394,1586.7698
978.313,1858.7947
930.111,1209.1443
966.478,1449.717
677.22,1015.83
971.318,1456.977
937.612,1593.9404
960.333,1824.6327
939.072,1784.2368
942.331,1790.4289
958.791,1438.1865
946.482,1798.3158
921.46,1566.482
667.941,1001.9115
777.717,1011.0321
914.575,1554.7775
963.621,1830.8799
689.267,1171.7539
727.134,1236.1278
915.76,1556.792
934.316,1588.3372
790.051,1501.0969
734.3,1248.31
931.095,1769.0805
983.613,1475.4195
926.556,1760.4564
966.539,1159.8468
762.145,1448.0755
966.796,1643.5532
979.953,1469.9295
714.78,1215.126
962.982,1829.6658
907.932,1543.4844
765.875,1455.1625
952.185,1237.8405
969.097,1162.9164
931.671,1397.5065
983.05,1867.795
940.928,1411.392
962.028,1154.4336
970.882,1844.6758
799.943,1519.8917
982.225,1669.7825
902.437,1714.6303
965.292,1640.9964
988.681,1878.4939
981.895,1472.8425
952.42,1809.598
964.526,1832.5994
688.024,1032.036
932.103,1584.5751
731.955,1244.3235
791.396,1503.6524
707.607,1202.9319
713.953,1356.5107
723.395,1374.4505
961.663,1827.1597
960.317,1632.5389
965.983,1642.1711
919.438,1746.9322
949.528,1804.1032
973.391,1460.0865
977.154,1172.5848
933.532,1773.7108
985.727,1872.8813
941.929,1224.5077
928.717,1764.5623
936.958,1592.8286
716.359,1361.0821
930.441,1767.8379
931.341,1769.5479
931.869,1770.5511
802.465,1524.6835
714.747,1215.0699
948.346,1232.8498
796.177,1512.7363
980.255,1666.4335
808.363,1535.8897
967.967,1451.9505
916.75,1741.825
950.477,1805.9063
937.984,1782.1696
955.102,1623.6734
986.069,1676.3173
961.596,1634.7132
940.591,1787.1229
965.784,1158.9408
924.457,1571.5769
976.346,1659.7882
932.233,1771.2427
953.793,1812.2067
748.878,973.5414
983.402,1475.103
931.132,1582.9244
934.573,1588.7741
954.819,1432.2285
940.568,1222.7384
956.489,1817.3291
965.006,1640.5102
973.891,1655.6147
934.532,1588.7044
779.478,1481.0082
950.803,1616.3651
963.645,1445.4675
927.595,1762.4305
975.203,1462.8045
967.624,1451.436
731.847,1390.5093
929.835,1580.7195
978.757,1663.8869
968.292,1646.0964
923.449,1754.5531
914.751,1189.1763
961.038,1633.7646
932.384,1585.0528
970.457,1649.7769
944.168,1227.4184
940.862,1599.4654
943.165,1792.0135
959.772,1823.5668
946.993,1609.8881
940.881,1599.4977
942.565,1225.3345
934.85,1776.215
788.276,1497.7244
723.314,1374.2966
980.721,1667.2257
959.6,1151.52
945.986,1797.3734
783.856,1489.3264
949.208,1233.9704
987.375,1876.0125
965.333,1834.1327
696.92,1184.764
766.801,1456.9219
